STATE,TRACT,P012A002,P012A026,P012B001,P012B002,P012B026,P012C001,P012C002,P012C026,P012D001,P012D002,P012D026,P012E001,P012E002,P012E026,P012F001,P012F002,P012F026,P012G001,P012G002,P012G026,P012H001,P012H002,P012H026,P012I001,P012I002,P012I026,P013001,P013A001,P013B001,P013C001,P013D001,P013E001,P013F001,P013G001,P013H001,P013I001,state,county,tract
42,030101,1257,1215,3,1,2,1,0,1,9,3,6,1,1,0,21,12,9,21,11,10,47,22,25,2449,1249,1200,37.3,37,46,36,31,9,14,23,13,37,42,001,030101
42,030102,2524,2493,9,6,3,12,3,9,9,3,6,1,1,0,14,4,10,44,19,25,61,27,34,4980,2505,2475,34.4,34,28,19,43,45,17,17,17,34,42,001,030102
42,030200,2467,2379,39,22,17,10,3,7,30,16,14,0,0,0,97,63,34,58,36,22,333,207,126,4635,2340,2295,35.8,36,32,16,24,0,24,22,23,37,42,001,030200
42,030300,1659,1640,40,18,22,7,5,2,2,1,1,1,0,1,156,87,69,45,29,16,346,198,148,3121,1556,1565,36.5,37,24,35,20,8,21,21,21,38,42,001,030300
42,030400,2501,2550,91,43,48,17,7,10,6,3,3,0,0,0,221,136,85,52,23,29,400,229,171,4894,2421,2473,38.6,39,37,38,29,0,21,17,20,40,42,001,030400
42,030500,1773,1817,25,15,10,10,5,5,5,1,4,0,0,0,114,64,50,35,16,19,264,141,123,3457,1704,1753,38.5,39,41,12,41,0,24,15,22,40,42,001,030500
42,030600,2081,2270,65,35,30,8,4,4,33,17,16,0,0,0,41,23,18,41,23,18,104,66,38,4297,2047,2250,42.4,42,37,38,31,0,23,20,23,42,42,001,030600
42,030700,2817,2853,37,21,16,6,4,2,22,7,15,0,0,0,36,20,16,27,16,11,118,69,49,5595,2774,2821,36.0,36,27,55,46,0,20,10,20,36,42,001,030700
42,030800,2960,3026,18,13,5,3,0,3,18,8,10,2,1,1,76,42,34,29,16,13,163,87,76,5914,2925,2989,36.8,37,25,31,34,42,19,28,22,37,42,001,030800
42,030900,2915,3282,46,25,21,10,6,4,26,12,14,7,4,3,226,123,103,60,27,33,391,206,185,6057,2846,3211,38.3,39,24,37,37,19,20,13,19,39,42,001,030900
42,031000,659,666,6,3,3,1,0,1,4,1,3,0,0,0,0,0,0,9,4,5,3,1,2,1324,659,665,37.3,37,18,14,51,0,0,11,51,37,42,001,031000
42,031101,2312,2588,29,18,11,7,3,4,8,4,4,1,1,0,35,20,15,34,19,15,104,59,45,4841,2280,2561,36.9,37,30,27,20,20,28,12,25,37,42,001,031101
42,031102,973,1026,9,5,4,0,0,0,2,1,1,0,0,0,17,6,11,14,7,7,27,9,18,1992,971,1021,36.0,36,44,0,47,0,11,16,21,36,42,001,031102
42,031201,1512,1603,47,26,21,11,7,4,15,8,7,0,0,0,22,17,5,22,14,8,64,41,23,3085,1496,1589,40.0,40,16,18,40,0,18,12,16,40,42,001,031201
42,031202,1114,1128,4,2,2,2,0,2,8,2,6,1,1,0,2,2,0,10,4,6,12,4,8,2235,1112,1123,37.3,37,60,39,44,18,17,22,15,37,42,001,031202
42,031203,1455,1484,2,0,2,7,4,3,20,7,13,0,0,0,4,1,3,17,9,8,25,11,14,2919,1446,1473,39.0,39,44,42,16,0,26,21,18,39,42,001,031203
42,031300,1820,2019,22,15,7,4,3,1,17,7,10,0,0,0,20,9,11,45,21,24,50,25,25,3814,1807,2007,34.2,34,14,44,27,0,27,17,23,34,42,001,031300
42,031401,1517,1675,105,64,41,13,8,5,35,16,19,1,1,0,54,32,22,23,13,10,102,54,48,3150,1500,1650,46.2,47,32,30,39,14,24,23,24,47,42,001,031401
42,031402,1066,1108,40,18,22,4,3,1,48,22,26,0,0,0,6,1,5,23,11,12,21,8,13,2161,1060,1101,42.9,43,29,22,33,0,18,39,17,43,42,001,031402
42,031501,1230,1405,61,29,32,15,8,7,37,18,19,1,0,1,107,61,46,40,20,20,170,95,75,2573,1195,1378,21.0,21,20,25,20,32,22,19,21,21,42,001,031501
42,031502,1731,2035,373,176,197,13,7,6,59,22,37,2,0,2,243,140,103,138,66,72,431,232,199,3635,1660,1975,33.6,37,25,23,37,28,21,15,20,37,42,001,031502
42,031600,2940,2916,29,14,15,17,10,7,24,10,14,1,0,1,19,7,12,77,31,46,55,15,40,5813,2928,2885,37.7,37,32,40,37,21,15,17,29,37,42,001,031600
42,031700,1298,1329,5,2,3,6,3,3,11,6,5,2,1,1,28,19,9,23,12,11,32,20,12,2617,1292,1325,40.7,41,75,36,16,42,21,27,28,41,42,001,031700
42,010300,1206,1869,522,243,279,12,4,8,147,68,79,4,2,2,109,51,58,53,27,26,125,51,74,3024,1186,1838,20.2,20,25,20,19,18,19,20,20,20,42,003,010300
42,020100,1848,1093,2071,1609,462,8,6,2,107,61,46,2,1,1,36,24,12,57,33,24,68,42,26,2910,1830,1080,34.8,36,33,41,27,47,24,25,25,36,42,003,020100
42,020300,51,46,162,72,90,0,0,0,0,0,0,0,0,0,1,0,1,6,3,3,9,2,7,97,51,46,36.0,41,30,0,0,0,58,31,55,41,42,003,020300
42,030500,162,126,2374,963,1411,6,4,2,19,9,10,1,1,0,13,9,4,23,7,16,18,10,8,283,159,124,38.9,27,41,41,35,26,26,23,25,27,42,003,030500
42,040200,423,499,1208,504,704,12,10,2,77,42,35,2,1,1,17,11,6,34,9,25,37,22,15,907,416,491,20.9,20,29,20,20,22,20,19,20,20,42,003,040200
42,040300,1498,2086,556,229,327,17,10,7,183,89,94,4,0,4,33,10,23,62,22,40,56,25,31,3556,1483,2073,19.7,19,19,20,19,19,19,19,20,19,42,003,040300
42,040400,825,1055,74,30,44,1,0,1,543,308,235,0,0,0,23,19,4,41,26,15,61,34,27,1840,805,1035,28.9,52,25,72,23,0,21,22,24,53,42,003,040400
42,040500,1244,1165,174,88,86,12,9,3,306,169,137,1,1,0,20,14,6,88,47,41,73,41,32,2375,1224,1151,21.9,21,23,22,28,27,29,21,22,21,42,003,040500
42,040600,1031,777,142,80,62,4,1,3,238,131,107,0,0,0,16,11,5,63,33,30,65,43,22,1774,1009,765,22.4,22,23,48,30,0,23,24,23,22,42,003,040600
42,040900,990,902,851,416,435,2,1,1,129,75,54,4,4,0,21,16,5,108,67,41,45,26,19,1866,975,891,32.1,31,35,49,31,23,26,22,23,31,42,003,040900
42,050100,17,28,2075,987,1088,5,3,2,2,0,2,0,0,0,6,3,3,10,5,5,7,5,2,44,16,28,44.5,50,44,56,49,0,11,43,38,50,42,003,050100
42,050600,115,118,1949,862,1087,7,2,5,13,7,6,1,1,0,13,9,4,30,14,16,12,8,4,232,114,118,42.8,44,42,54,35,24,14,43,21,44,42,003,050600
42,050700,962,994,401,149,252,3,1,2,412,235,177,2,1,1,19,15,4,63,42,21,72,45,27,1912,936,976,26.7,25,45,39,27,21,26,23,26,25,42,003,050700
42,050900,18,18,2023,763,1260,12,5,7,0,0,0,1,0,1,10,4,6,27,9,18,13,4,9,36,18,18,24.4,42,23,23,0,40,24,46,21,42,42,003,050900
42,051000,35,25,1156,451,705,2,0,2,8,5,3,0,0,0,1,1,0,23,11,12,8,4,4,58,33,25,35.3,25,36,49,27,0,51,25,21,25,42,003,051000
42,051100,2,6,1353,520,833,3,0,3,0,0,0,0,0,0,5,0,5,12,9,3,9,4,5,8,2,6,23.4,47,23,53,0,0,33,22,24,47,42,003,051100
42,060300,924,942,583,255,328,3,1,2,50,26,24,1,0,1,7,2,5,75,42,33,21,12,9,1855,919,936,37.8,42,27,39,29,24,19,18,22,42,42,003,060300
42,060500,586,661,178,84,94,3,0,3,15,5,10,0,0,0,7,1,6,38,19,19,28,12,16,1226,576,650,39.7,41,30,35,33,0,18,26,26,42,42,003,060500
42,070300,964,910,131,45,86,5,3,2,153,87,66,1,1,0,21,11,10,39,19,20,95,45,50,1813,935,878,31.1,31,66,31,27,24,28,30,28,31,42,003,070300
42,070500,1272,1238,287,129,158,4,2,2,240,127,113,1,0,1,21,12,9,75,48,27,97,52,45,2426,1228,1198,29.3,29,28,48,28,20,26,24,28,29,42,003,070500
42,070600,830,829,63,30,33,3,2,1,185,93,92,1,0,1,24,15,9,42,22,20,75,42,33,1607,803,804,31.2,32,40,33,27,51,29,26,29,32,42,003,070600
42,070800,628,641,114,61,53,1,0,1,235,136,99,0,0,0,17,6,11,31,15,16,61,34,27,1222,599,623,32.7,33,37,48,31,0,27,27,29,33,42,003,070800
42,070900,1605,1642,393,142,251,7,4,3,919,514,405,9,3,6,90,47,43,83,50,33,150,83,67,3162,1558,1604,28.8,31,41,25,25,20,20,24,25,31,42,003,070900
42,080200,803,937,44,20,24,2,2,0,15,10,5,0,0,0,9,6,3,18,5,13,28,11,17,1726,799,927,42.7,43,29,35,26,0,26,23,30,43,42,003,080200
42,080400,511,560,150,82,68,2,1,1,166,88,78,1,0,1,4,3,1,19,15,4,10,3,7,1068,510,558,31.1,33,30,31,27,19,28,32,26,33,42,003,080400
42,080600,869,891,196,103,93,2,1,1,91,49,42,1,1,0,19,9,10,49,24,25,64,37,27,1718,845,873,32.0,33,29,41,28,42,24,29,28,33,42,003,080600
42,080700,582,485,508,229,279,15,8,7,107,58,49,0,0,0,26,14,12,68,33,35,33,18,15,1053,575,478,31.5,32,34,24,28,0,24,27,27,32,42,003,080700
42,080900,719,800,280,117,163,6,5,1,67,37,30,0,0,0,21,11,10,27,12,15,37,19,18,1505,709,796,39.5,41,36,28,29,0,39,28,25,41,42,003,080900
42,090100,839,960,102,53,49,0,0,0,38,19,19,0,0,0,0,0,0,18,7,11,4,3,1,1796,836,960,43.7,45,26,0,28,0,0,7,27,45,42,003,090100
42,090200,1212,1733,125,61,64,0,0,0,43,23,20,0,0,0,7,3,4,29,13,16,25,18,7,2930,1201,1729,47.6,49,29,0,28,0,13,25,24,50,42,003,090200
42,090300,737,878,97,50,47,5,3,2,57,25,32,0,0,0,6,2,4,30,13,17,23,10,13,1606,733,873,41.4,43,30,34,32,0,40,15,29,43,42,003,090300
42,100500,304,393,1330,612,718,0,0,0,14,6,8,0,0,0,7,4,3,52,23,29,14,7,7,694,302,392,42.3,52,38,0,23,0,11,18,20,52,42,003,100500
