STATE	TRACT	COUNTY	gisjoin	fid	AREALAND	POP100	H001001	H002001	H002005	H003001	H003002	H003003	P001001	P002001	P002002	P002005	P003001	P003002	P003003	P003004	P003005	P003006	P003007	P003008	P003009	P003010	P003026	P003047	P003063	P003070	P004001	P004002	P004003	P012001	P012002	P012026	P012A001	P012A002	P012A026	P012B001	P012B002	P012B026	P012C001	P012C002	P012C026	P012D001	P012D002	P012D026	P012E001	P012E002	P012E026	P012F001	P012F002	P012F026	P012G001	P012G002	P012G026	P012H001	P012H002	P012H026	P012I001	P012I002	P012I026	P013001	P013A001	P013B001	P013C001	P013D001	P013E001	P013F001	P013G001	P013H001	P013I001
42	30101	1	42001030101	15495	54957843	2528	973	973	0	973	914	59	2528	2528	0	0	2528	2507	2472	3	1	9	1	21	21	21	0	0	0	0	2528	47	2481	2528	1285	1243	2472	1257	1215	3	1	2	1	0	1	9	3	6	1	1	0	21	12	9	21	11	10	47	22	25	2449	1249	1200	37	37	46	36	31	9	14	23	13	37
42	30102	1	42001030102	13957	68781874	5106	1982	1982	0	1982	1803	179	5106	5106	0	0	5106	5062	5017	9	12	9	1	14	44	44	0	0	0	0	5106	61	5045	5106	2560	2546	5017	2524	2493	9	6	3	12	3	9	9	3	6	1	1	0	14	4	10	44	19	25	61	27	34	4980	2505	2475	34	34	28	19	43	45	17	17	17	34
42	30200	1	42001030200	15430	121198606	5080	1929	1929	0	1929	1802	127	5080	5080	0	0	5080	5022	4846	39	10	30	0	97	58	55	3	0	0	0	5080	333	4747	5080	2607	2473	4846	2467	2379	39	22	17	10	3	7	30	16	14	0	0	0	97	63	34	58	36	22	333	207	126	4635	2340	2295	35	36	32	16	24	0	24	22	23	37
42	30300	1	42001030300	14416	111834918	3550	1451	1451	0	1451	1279	172	3550	3550	0	0	3550	3505	3299	40	7	2	1	156	45	43	2	0	0	0	3550	346	3204	3550	1799	1751	3299	1659	1640	40	18	22	7	5	2	2	1	1	1	0	1	156	87	69	45	29	16	346	198	148	3121	1556	1565	36	37	24	35	20	8	21	21	21	38
42	30400	1	42001030400	15102	179013088	5438	2164	2164	0	2164	1980	184	5438	5438	0	0	5438	5386	5051	91	17	6	0	221	52	48	4	0	0	0	5438	400	5038	5438	2713	2725	5051	2501	2550	91	43	48	17	7	10	6	3	3	0	0	0	221	136	85	52	23	29	400	229	171	4894	2421	2473	38	39	37	38	29	0	21	17	20	40
42	30500	1	42001030500	12286	63850063	3779	1484	1484	0	1484	1422	62	3779	3779	0	0	3779	3744	3590	25	10	5	0	114	35	33	2	0	0	0	3779	264	3515	3779	1874	1905	3590	1773	1817	25	15	10	10	5	5	5	1	4	0	0	0	114	64	50	35	16	19	264	141	123	3457	1704	1753	38	39	41	12	41	0	24	15	22	40
42	30600	1	42001030600	12287	89101427	4539	1816	1816	0	1816	1687	129	4539	4539	0	0	4539	4498	4351	65	8	33	0	41	41	40	1	0	0	0	4539	104	4435	4539	2183	2356	4351	2081	2270	65	35	30	8	4	4	33	17	16	0	0	0	41	23	18	41	23	18	104	66	38	4297	2047	2250	42	42	37	38	31	0	23	20	23	42
42	30700	1	42001030700	12377	81911320	5798	2195	2195	0	2195	2110	85	5798	5798	0	0	5798	5771	5670	37	6	22	0	36	27	27	0	0	0	0	5798	118	5680	5798	2885	2913	5670	2817	2853	37	21	16	6	4	2	22	7	15	0	0	0	36	20	16	27	16	11	118	69	49	5595	2774	2821	36	36	27	55	46	0	20	10	20	36
42	30800	1	42001030800	14901	58758189	6132	2413	2413	0	2413	2297	116	6132	6132	0	0	6132	6103	5986	18	3	18	2	76	29	25	3	1	0	0	6132	163	5969	6132	3040	3092	5986	2960	3026	18	13	5	3	0	3	18	8	10	2	1	1	76	42	34	29	16	13	163	87	76	5914	2925	2989	36	37	25	31	34	42	19	28	22	37
42	30900	1	42001030900	12971	26848288	6572	2478	2478	0	2478	2372	106	6572	6572	0	0	6572	6512	6197	46	10	26	7	226	60	51	3	6	0	0	6572	391	6181	6572	3112	3460	6197	2915	3282	46	25	21	10	6	4	26	12	14	7	4	3	226	123	103	60	27	33	391	206	185	6057	2846	3211	38	39	24	37	37	19	20	13	19	39
