STATE,TRACT,AREALAND,POP100,H001001,H002001,H002005,H003001,H003002,H003003,P001001,P002001,P002002,P002005,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P003009,P003010,P003026,P003047,P003063,P003070,P004001,P004002,P004003,P012001,P012002,P012026,P012A001,state,county,tract
42,030101,0000054957843,00002528,973,973,0,973,914,59,2528,2528,0,0,2528,2507,2472,3,1,9,1,21,21,21,0,0,0,0,2528,47,2481,2528,1285,1243,2472,42,001,030101
42,030102,0000068781874,00005106,1982,1982,0,1982,1803,179,5106,5106,0,0,5106,5062,5017,9,12,9,1,14,44,44,0,0,0,0,5106,61,5045,5106,2560,2546,5017,42,001,030102
42,030200,0000121198606,00005080,1929,1929,0,1929,1802,127,5080,5080,0,0,5080,5022,4846,39,10,30,0,97,58,55,3,0,0,0,5080,333,4747,5080,2607,2473,4846,42,001,030200
42,030300,0000111834918,00003550,1451,1451,0,1451,1279,172,3550,3550,0,0,3550,3505,3299,40,7,2,1,156,45,43,2,0,0,0,3550,346,3204,3550,1799,1751,3299,42,001,030300
42,030400,0000179013088,00005438,2164,2164,0,2164,1980,184,5438,5438,0,0,5438,5386,5051,91,17,6,0,221,52,48,4,0,0,0,5438,400,5038,5438,2713,2725,5051,42,001,030400
42,030500,0000063850063,00003779,1484,1484,0,1484,1422,62,3779,3779,0,0,3779,3744,3590,25,10,5,0,114,35,33,2,0,0,0,3779,264,3515,3779,1874,1905,3590,42,001,030500
42,030600,0000089101427,00004539,1816,1816,0,1816,1687,129,4539,4539,0,0,4539,4498,4351,65,8,33,0,41,41,40,1,0,0,0,4539,104,4435,4539,2183,2356,4351,42,001,030600
42,030700,0000081911320,00005798,2195,2195,0,2195,2110,85,5798,5798,0,0,5798,5771,5670,37,6,22,0,36,27,27,0,0,0,0,5798,118,5680,5798,2885,2913,5670,42,001,030700
42,030800,0000058758189,00006132,2413,2413,0,2413,2297,116,6132,6132,0,0,6132,6103,5986,18,3,18,2,76,29,25,3,1,0,0,6132,163,5969,6132,3040,3092,5986,42,001,030800
42,030900,0000026848288,00006572,2478,2478,0,2478,2372,106,6572,6572,0,0,6572,6512,6197,46,10,26,7,226,60,51,3,6,0,0,6572,391,6181,6572,3112,3460,6197,42,001,030900
42,031000,0000008042424,00001345,493,493,0,493,483,10,1345,1345,0,0,1345,1336,1325,6,1,4,0,0,9,9,0,0,0,0,1345,3,1342,1345,667,678,1325,42,001,031000
42,031101,0000003114697,00005014,2154,2154,0,2154,2079,75,5014,5014,0,0,5014,4980,4900,29,7,8,1,35,34,30,4,0,0,0,5014,104,4910,5014,2377,2637,4900,42,001,031101
42,031102,0000017309519,00002041,773,773,0,773,741,32,2041,2041,0,0,2041,2027,1999,9,0,2,0,17,14,13,1,0,0,0,2041,27,2014,2041,992,1049,1999,42,001,031102
42,031201,0000067075113,00003232,1267,1267,0,1267,1191,76,3232,3232,0,0,3232,3210,3115,47,11,15,0,22,22,21,1,0,0,0,3232,64,3168,3232,1584,1648,3115,42,001,031201
42,031202,0000028283284,00002269,788,788,0,788,773,15,2269,2269,0,0,2269,2259,2242,4,2,8,1,2,10,10,0,0,0,0,2269,12,2257,2269,1125,1144,2242,42,001,031202
42,031203,0000045231607,00002989,1112,1112,0,1112,1074,38,2989,2989,0,0,2989,2972,2939,2,7,20,0,4,17,17,0,0,0,0,2989,25,2964,2989,1476,1513,2939,42,001,031203
42,031300,0000004061516,00003947,1692,1692,0,1692,1586,106,3947,3947,0,0,3947,3902,3839,22,4,17,0,20,45,44,1,0,0,0,3947,50,3897,3947,1875,2072,3839,42,001,031300
42,031401,0000029377531,00003423,1358,1358,0,1358,1295,63,3423,3423,0,0,3423,3400,3192,105,13,35,1,54,23,20,2,1,0,0,3423,102,3321,3423,1651,1772,3192,42,001,031401
42,031402,0000057252864,00002295,1007,1007,0,1007,936,71,2295,2295,0,0,2295,2272,2174,40,4,48,0,6,23,21,2,0,0,0,2295,21,2274,2295,1121,1174,2174,42,001,031402
42,031501,0000001503028,00002896,599,599,0,599,558,41,2896,2896,0,0,2896,2856,2635,61,15,37,1,107,40,39,1,0,0,0,2896,170,2726,2896,1366,1530,2635,42,001,031501
42,031502,0000002748965,00004594,2160,2160,0,2160,1983,177,4594,4594,0,0,4594,4456,3766,373,13,59,2,243,138,137,1,0,0,0,4594,431,4163,4594,2142,2452,3766,42,001,031502
42,031600,0000123306069,00006023,2400,2400,0,2400,2228,172,6023,6023,0,0,6023,5946,5856,29,17,24,1,19,77,76,1,0,0,0,6023,55,5968,6023,3012,3011,5856,42,001,031600
42,031700,0000103250900,00002702,1143,1143,0,1143,1059,84,2702,2702,0,0,2702,2679,2627,5,6,11,2,28,23,20,3,0,0,0,2702,32,2670,2702,1341,1361,2627,42,001,031700
42,010300,0000000963024,00003922,721,721,0,721,468,253,3922,3922,0,0,3922,3869,3075,522,12,147,4,109,53,50,3,0,0,0,3922,125,3797,3922,1601,2321,3075,42,003,010300
42,020100,0000001717785,00005222,1623,1623,0,1623,1264,359,5222,5222,0,0,5222,5165,2941,2071,8,107,2,36,57,51,4,2,0,0,5222,68,5154,5222,3582,1640,2941,42,003,020100
42,020300,0000001573136,00000266,195,195,0,195,128,67,266,266,0,0,266,260,97,162,0,0,0,1,6,6,0,0,0,0,266,9,257,266,126,140,97,42,003,020300
42,030500,0000000666954,00002724,1540,1540,0,1540,1396,144,2724,2724,0,0,2724,2701,288,2374,6,19,1,13,23,23,0,0,0,0,2724,18,2706,2724,1155,1569,288,42,003,030500
42,040200,0000000581844,00002272,638,638,0,638,536,102,2272,2272,0,0,2272,2238,922,1208,12,77,2,17,34,27,7,0,0,0,2272,37,2235,2272,1000,1272,922,42,003,040200
42,040300,0000000471111,00004439,106,106,0,106,100,6,4439,4439,0,0,4439,4377,3584,556,17,183,4,33,62,50,12,0,0,0,4439,56,4383,4439,1858,2581,3584,42,003,040300
42,040400,0000000453331,00002562,1875,1875,0,1875,1655,220,2562,2562,0,0,2562,2521,1880,74,1,543,0,23,41,36,4,1,0,0,2562,61,2501,2562,1208,1354,1880,42,003,040400
42,040500,0000000474523,00003010,1386,1386,0,1386,1257,129,3010,3010,0,0,3010,2922,2409,174,12,306,1,20,88,85,2,1,0,0,3010,73,2937,3010,1572,1438,2409,42,003,040500
42,040600,0000000233957,00002271,1169,1169,0,1169,1059,110,2271,2271,0,0,2271,2208,1808,142,4,238,0,16,63,62,1,0,0,0,2271,65,2206,2271,1287,984,1808,42,003,040600
42,040900,0000001394334,00003007,1558,1558,0,1558,1398,160,3007,3007,0,0,3007,2899,1892,851,2,129,4,21,108,100,6,0,2,0,3007,45,2962,3007,1569,1438,1892,42,003,040900
42,050100,0000000791491,00002143,1334,1334,0,1334,983,351,2143,2143,0,0,2143,2133,45,2075,5,2,0,6,10,9,1,0,0,0,2143,7,2136,2143,1015,1128,45,42,003,050100
42,050600,0000000809588,00002246,1171,1171,0,1171,1001,170,2246,2246,0,0,2246,2216,233,1949,7,13,1,13,30,21,9,0,0,0,2246,12,2234,2246,1010,1236,233,42,003,050600
42,050700,0000000384254,00002856,2022,2022,0,2022,1883,139,2856,2856,0,0,2856,2793,1956,401,3,412,2,19,63,54,8,1,0,0,2856,72,2784,2856,1405,1451,1956,42,003,050700
42,050900,0000000471057,00002109,1049,1049,0,1049,963,86,2109,2109,0,0,2109,2082,36,2023,12,0,1,10,27,17,10,0,0,0,2109,13,2096,2109,799,1310,36,42,003,050900
42,051000,0000000651815,00001250,1212,1212,0,1212,627,585,1250,1250,0,0,1250,1227,60,1156,2,8,0,1,23,18,4,1,0,0,1250,8,1242,1250,503,747,60,42,003,051000
42,051100,0000000179165,00001381,862,862,0,862,653,209,1381,1381,0,0,1381,1369,8,1353,3,0,0,5,12,5,7,0,0,0,1381,9,1372,1381,531,850,8,42,003,051100
42,060300,0000001052289,00002585,1448,1448,0,1448,1252,196,2585,2585,0,0,2585,2510,1866,583,3,50,1,7,75,67,7,1,0,0,2585,21,2564,2585,1250,1335,1866,42,003,060300
42,060500,0000000712719,00001488,928,928,0,928,778,150,1488,1488,0,0,1488,1450,1247,178,3,15,0,7,38,34,2,0,2,0,1488,28,1460,1488,695,793,1247,42,003,060500
42,070300,0000000420076,00002224,1286,1286,0,1286,1214,72,2224,2224,0,0,2224,2185,1874,131,5,153,1,21,39,29,10,0,0,0,2224,95,2129,2224,1130,1094,1874,42,003,070300
42,070500,0000000422950,00003138,1993,1993,0,1993,1884,109,3138,3138,0,0,3138,3063,2510,287,4,240,1,21,75,70,5,0,0,0,3138,97,3041,3138,1590,1548,2510,42,003,070500
42,070600,0000000297556,00001977,1330,1330,0,1330,1262,68,1977,1977,0,0,1977,1935,1659,63,3,185,1,24,42,42,0,0,0,0,1977,75,1902,1977,992,985,1659,42,003,070600
42,070800,0000000456609,00001667,1062,1062,0,1062,1006,56,1667,1667,0,0,1667,1636,1269,114,1,235,0,17,31,30,1,0,0,0,1667,61,1606,1667,846,821,1269,42,003,070800
42,070900,0000000783879,00004748,2780,2780,0,2780,2596,184,4748,4748,0,0,4748,4665,3247,393,7,919,9,90,83,79,4,0,0,0,4748,150,4598,4748,2365,2383,3247,42,003,070900
42,080200,0000000324494,00001828,1019,1019,0,1019,930,89,1828,1828,0,0,1828,1810,1740,44,2,15,0,9,18,17,1,0,0,0,1828,28,1800,1828,846,982,1740,42,003,080200
42,080400,0000000438055,00001413,934,934,0,934,791,143,1413,1413,0,0,1413,1394,1071,150,2,166,1,4,19,18,1,0,0,0,1413,10,1403,1413,700,713,1071,42,003,080400
42,080600,0000000402387,00002118,1319,1319,0,1319,1221,98,2118,2118,0,0,2118,2069,1760,196,2,91,1,19,49,46,3,0,0,0,2118,64,2054,2118,1056,1062,1760,42,003,080600
42,080700,0000000270864,00001791,1180,1180,0,1180,1072,108,1791,1791,0,0,1791,1723,1067,508,15,107,0,26,68,60,7,0,1,0,1791,33,1758,1791,924,867,1067,42,003,080700
42,080900,0000000381605,00001920,1141,1141,0,1141,1019,122,1920,1920,0,0,1920,1893,1519,280,6,67,0,21,27,25,1,1,0,0,1920,37,1883,1920,901,1019,1519,42,003,080900
42,090100,0000000672113,00001957,1186,1186,0,1186,959,227,1957,1957,0,0,1957,1939,1799,102,0,38,0,0,18,18,0,0,0,0,1957,4,1953,1957,918,1039,1799,42,003,090100
42,090200,0000001832942,00003149,1718,1718,0,1718,1543,175,3149,3149,0,0,3149,3120,2945,125,0,43,0,7,29,28,1,0,0,0,3149,25,3124,3149,1312,1837,2945,42,003,090200
42,090300,0000000249906,00001810,1019,1019,0,1019,885,134,1810,1810,0,0,1810,1780,1615,97,5,57,0,6,30,27,3,0,0,0,1810,23,1787,1810,830,980,1615,42,003,090300
42,100500,0000000699607,00002100,890,890,0,890,846,44,2100,2100,0,0,2100,2048,697,1330,0,14,0,7,52,44,8,0,0,0,2100,14,2086,2100,949,1151,697,42,003,100500
42,101100,0000001038546,00002899,1504,1504,0,1504,1235,269,2899,2899,0,0,2899,2859,2493,318,6,36,0,6,40,40,0,0,0,0,2899,28,2871,2899,1377,1522,2493,42,003,101100
42,101400,0000000955064,00003549,1679,1679,0,1679,1540,139,3549,3549,0,0,3549,3505,3123,351,2,11,0,18,44,43,1,0,0,0,3549,45,3504,3549,1598,1951,3123,42,003,101400
42,101600,0000000452809,00001879,855,855,0,855,619,236,1879,1879,0,0,1879,1853,64,1755,22,1,0,11,26,23,3,0,0,0,1879,14,1865,1879,754,1125,64,42,003,101600
42,101700,0000000382025,00002004,978,978,0,978,752,226,2004,2004,0,0,2004,1951,415,1431,2,88,0,15,53,39,10,4,0,0,2004,12,1992,2004,906,1098,415,42,003,101700
42,101800,0000001194487,00002742,1252,1252,0,1252,1196,56,2742,2742,0,0,2742,2711,2278,405,4,12,0,12,31,28,1,2,0,0,2742,19,2723,2742,1266,1476,2278,42,003,101800
42,110200,0000000789946,00004233,2247,2247,0,2247,2054,193,4233,4233,0,0,4233,4127,2559,1430,9,101,0,28,106,104,2,0,0,0,4233,79,4154,4233,1960,2273,2559,42,003,110200
42,110600,0000002093097,00002516,1149,1149,0,1149,1055,94,2516,2516,0,0,2516,2463,1852,561,1,26,1,22,53,49,4,0,0,0,2516,44,2472,2516,1166,1350,1852,42,003,110600
42,111300,0000000517692,00003188,1655,1655,0,1655,1409,246,3188,3188,0,0,3188,3103,780,2202,11,62,0,48,85,76,8,1,0,0,3188,33,3155,3188,1375,1813,780,42,003,111300
42,111400,0000000316843,00001567,748,748,0,748,594,154,1567,1567,0,0,1567,1506,115,1351,1,31,0,8,61,55,6,0,0,0,1567,21,1546,1567,765,802,115,42,003,111400
